event_id,generated_at,source_node,service_name,status_code,is_synthetic,scenario_tag,telemetry_profile,cpu_pct,memory_pct,latency_ms,disk_io_pct,net_error_rate,queue_length,throughput_rate,http_5xx_rate
a3f4c82d-b688-4433-a440-05d20018992d,2026-04-25T17:21:22.791240-04:00,node-01,payments-api,200,True,anomalous,market_aware_v1,44.092,53.529,113.372,27.732,0.7,49.289,65.357,1.214
bb222061-b3d5-4231-9868-c9d1b7e6a3e2,2026-04-25T17:21:22.804506-04:00,node-01,orders-api,200,True,normal,market_aware_v1,50.272,50.184,80.223,31.236,0.271,42.566,103.979,0.522
164e1230-009d-4070-85b5-e4d8a234c2e2,2026-04-25T17:21:22.815109-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,49.653,49.855,92.894,30.563,0.39,40.099,80.134,0.797
7a70d81f-e976-4d0a-88dc-4091f6a1c4f5,2026-04-25T17:21:22.825616-04:00,node-01,payments-api,200,True,normal,market_aware_v1,42.144,49.506,94.315,27.388,0.271,40.5,70.182,0.546
f48b4941-bea8-4e9d-ab9f-05891e8f79c6,2026-04-25T17:21:22.836126-04:00,node-01,orders-api,200,True,normal,market_aware_v1,51.612,45.092,69.877,36.612,0.252,37.22,113.931,0.526
ee1ec57f-b52f-4f75-9103-494a96fe0489,2026-04-25T17:21:22.846637-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,51.703,53.008,105.174,31.838,0.504,46.461,79.796,0.921
d60ce9e8-c896-4fca-b513-aa336ea2ccc3,2026-04-25T17:21:22.857155-04:00,node-01,payments-api,200,True,normal,market_aware_v1,47.369,52.004,107.542,26.576,0.26,41.536,69.642,0.498
455e3a01-4c0e-491b-9f11-ce172a6444d8,2026-04-25T17:21:22.867600-04:00,node-01,orders-api,200,True,normal,market_aware_v1,52.709,48.777,81.032,34.145,0.213,42.507,108.817,0.508
e867a60c-574e-4731-a8f0-cd21a8b48dfc,2026-04-25T17:21:22.878125-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,51.092,48.504,86.966,32.364,0.373,45.379,85.58,0.815
e9bf4c12-2893-4561-a6e1-53f97ec5b691,2026-04-25T17:21:22.888602-04:00,node-01,payments-api,200,True,normal,market_aware_v1,50.159,52.611,105.355,27.289,0.449,43.14,74.0,0.863
82fc8eee-eb18-4e58-b0bc-0f773e44b101,2026-04-25T17:21:22.899109-04:00,node-01,orders-api,200,True,normal,market_aware_v1,50.384,48.788,68.904,32.536,0.185,39.769,109.066,0.398
797d5573-f0e9-4b8c-8e97-d24eeffa4af5,2026-04-25T17:21:22.909636-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,50.947,49.059,95.313,32.584,0.524,45.281,81.021,0.928
802995cb-043a-473d-a02f-5efcb0ba9f0f,2026-04-25T17:21:22.920171-04:00,node-01,payments-api,200,True,normal,market_aware_v1,44.769,51.639,89.401,27.515,0.363,45.762,74.357,0.738
b313e95f-6c7a-46e9-b505-39e4d9ad676e,2026-04-25T17:21:22.930662-04:00,node-01,orders-api,200,True,normal,market_aware_v1,54.011,45.24,89.58,31.551,0.355,50.524,105.644,0.82
4dbe611f-99f9-4a94-80e1-35010d936a09,2026-04-25T17:21:22.941161-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,47.653,49.295,89.55,29.288,0.308,35.11,79.507,0.542
18c9d397-8abe-4a19-abdc-c820c0f189f3,2026-04-25T17:21:22.951645-04:00,node-01,payments-api,429,True,anomalous,market_aware_v1,46.079,49.968,129.012,27.818,0.666,50.175,70.626,1.3
